location,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow
lat,55.87006,55.87006,55.87006,55.87006,55.87006,55.87006,55.87006,55.87006
lon,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523
asl,58.954,58.954,58.954,58.954,58.954,58.954,58.954,58.954
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Wind Speed,Wind Direction,Wind Speed,Wind Direction
unit,°C,%,hPa,mm,km/h,°,km/h,°
level,2 m elevation corrected,2 m,MSL,sfc,10 m,10 m,80 m,80 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None
timestamp,Glasgow Temperature (°C) [2 m elevation corrected],Glasgow Relative Humidity (%) [2 m],Glasgow Mean Sea Level Pressure (hPa) [MSL],Glasgow Precipitation Total (mm),Glasgow Wind Speed (km/h) [10 m],Glasgow Wind Direction (°) [10 m],Glasgow Wind Speed (km/h) [80 m],Glasgow Wind Direction (°) [80 m]
2020-07-05 00-AM,13.323198000000001,94.0,994.8,2.0,10.932142,133.02505,19.228851000000002,141.84277
2020-07-05 01-AM,13.963199,94.0,993.2,3.5,11.029089,217.1467,22.45315,221.0995
2020-07-05 02-AM,13.953198,91.0,993.0,0.0,22.459906,247.69378999999998,41.180285999999995,247.91956000000002
2020-07-05 03-AM,13.193198,91.0,992.4,0.0,20.643852,252.73418999999998,37.585102,253.30075
2020-07-05 04-AM,12.043199000000001,88.0,992.1,0.0,24.399971,259.3035,44.211166,260.15417
2020-07-05 05-AM,10.773197999999999,89.0,993.6,0.0,23.924143,277.67896,43.986343,280.8501
2020-07-05 06-AM,10.953198,87.0,995.1,0.0,23.521778,283.0919,42.34708,284.27252000000004
2020-07-05 07-AM,11.293199000000001,85.0,996.3,0.0,20.486835,282.77124,36.409866,284.31104
2020-07-05 08-AM,11.563198,86.0,996.5,0.6,18.185581,275.04245,31.093666,275.31453999999997
2020-07-05 09-AM,11.203198,79.0,998.0,0.3,25.244825,277.275,42.86873,277.72182999999995
2020-07-05 10-AM,11.353197999999999,78.0,999.0,0.1,23.176798,270.0,38.881668,270.53052
2020-07-05 11-AM,11.733198,76.0,1000.2,0.1,24.248253,268.74097,39.966484,268.96777000000003
2020-07-05 12-PM,11.633199000000001,78.0,1000.4,0.1,23.035517000000002,264.0257,38.723015000000004,264.1304
2020-07-05 13-PM,12.193197999999999,79.0,999.9,0.7,23.785805,254.4072,39.12092,255.06857000000002
2020-07-05 14-PM,11.933199,77.0,999.9,0.5,23.928593,258.43987999999996,39.961617,259.09497000000005
2020-07-05 15-PM,11.893199000000001,79.0,1000.1,0.4,21.826925,250.0169,36.109629999999996,249.57767
2020-07-05 16-PM,12.163198,77.0,999.6,0.7,22.077473,250.25317,38.141315000000006,250.70996
2020-07-05 17-PM,11.973199000000001,82.0,999.1,0.6,23.603098000000003,253.61046000000002,40.352129999999995,254.47589
2020-07-05 18-PM,11.463199000000001,87.0,999.2,0.5,15.932858,249.44395,25.407429999999998,249.25392000000002
